;Año del censo;Partido;Cantidad de EAPs
0;2018;Provincia de Buenos Aires;36744
1;2018;Adolfo Alsina;554
2;2018;Adolfo Gonzales Chaves;286
3;2018;Alberti;207
4;2018;Almirante Brown;44
5;2018;Arrecifes;233
6;2018;Avellaneda;0
7;2018;Ayacucho;735
8;2018;Azul;668
9;2018;Bahía Blanca;265
10;2018;Balcarce;419
11;2018;Baradero;194
12;2018;Benito Juárez;504
13;2018;Berazategui;279
14;2018;Berisso;44
15;2018;Bolívar;871
16;2018;Bragado;290
17;2018;Brandsen;184
18;2018;Campana;140
19;2018;Cañuelas;194
20;2018;Capitán Sarmiento;143
21;2018;Carlos Casares;241
22;2018;Carlos Tejedor;409
23;2018;Carmen de Areco;104
24;2018;Castelli;132
25;2018;Chacabuco;416
26;2018;Chascomús;488
27;2018;Chivilcoy;389
28;2018;Colón;245
29;2018;Coronel de Marina Leonardo Rosales;114
30;2018;Coronel Dorrego;359
31;2018;Coronel Pringles;505
32;2018;Coronel Suárez;711
33;2018;Daireaux;401
34;2018;Dolores;157
35;2018;Ensenada;6
36;2018;Escobar;32
37;2018;Esteban Echeverría;23
38;2018;Exaltación de la Cruz;139
39;2018;Ezeiza;3
40;2018;Florencio Varela;427
41;2018;Florentino Ameghino;132
42;2018;General Alvarado;134
43;2018;General Alvear;280
44;2018;General Arenales;286
45;2018;General Belgrano;161
46;2018;General Guido;309
47;2018;General Juan Madariaga;252
48;2018;General La Madrid;360
49;2018;General Las Heras;214
50;2018;General Lavalle;225
51;2018;General Paz;293
52;2018;General Pinto;205
53;2018;General Pueyrredón;310
54;2018;General Rodríguez;74
55;2018;General San Martín;0
56;2018;General Viamonte;250
57;2018;General Villegas;545
58;2018;Guaminí;566
59;2018;Hipólito Yrigoyen;166
60;2018;Hurlingham;0
61;2018;Ituzaingó;0
62;2018;José C, Paz;6
63;2018;Junín;478
64;2018;La Costa;9
65;2018;La Matanza;9
66;2018;Lanús;0
67;2018;La Plata;1656
68;2018;Laprida;331
69;2018;Las Flores;386
70;2018;Leandro N, Alem;178
71;2018;Lezama;233
72;2018;Lincoln;649
73;2018;Lobería;416
74;2018;Lobos;369
75;2018;Lomas de Zamora;0
76;2018;Luján;162
77;2018;Magdalena;321
78;2018;Maipú;240
79;2018;Malvinas Argentinas;14
80;2018;Mar Chiquita;316
81;2018;Marcos Paz;162
82;2018;Mercedes;246
83;2018;Merlo;45
84;2018;Monte;193
85;2018;Monte Hermoso;0
86;2018;Moreno;52
87;2018;Morón;0
88;2018;Navarro;274
89;2018;Necochea;359
90;2018;9 de julio;674
91;2018;Olavarría;644
92;2018;Patagones;755
93;2018;Pehuajó;433
94;2018;Pellegrini;184
95;2018;Pergamino;611
96;2018;Pila;211
97;2018;Pilar;85
98;2018;Pinamar;0
99;2018;Presidente Perón;20
100;2018;Puán;687
101;2018;Punta Indio;211
102;2018;Quilmes;0
103;2018;Ramallo;178
104;2018;Rauch;621
105;2018;Rivadavia;294
106;2018;Rojas;414
107;2018;Roque Pérez;234
108;2018;Saavedra;456
109;2018;Saladillo;564
110;2018;Salliqueló;142
111;2018;Salto;344
112;2018;San Andrés de Giles;134
113;2018;San Antonio de Areco;133
114;2018;San Cayetano;278
115;2018;San Fernando;67
116;2018;San Isidro;0
117;2018;San Miguel;0
118;2018;San Nicolás;177
119;2018;San Pedro;371
120;2018;San Vicente;215
121;2018;Suipacha;146
122;2018;Tandil;479
123;2018;Tapalqué;290
124;2018;Tigre;45
125;2018;Tordillo;95
126;2018;Tornquist;410
127;2018;Trenque Lauquen;340
128;2018;Tres Arroyos;551
129;2018;Tres de Febrero;0
130;2018;Tres Lomas;128
131;2018;25 de mayo;603
132;2018;Vicente López;0
133;2018;Villa Gesell;0
134;2018;Villarino;632
135;2018;Zárate;45
136;2002;Provincia de Buenos Aires;51107
137;2002;Adolfo Alsina;805
138;2002;Adolfo Gonzales Chaves;346
139;2002;Alberti;287
140;2002;Almirante Brown;40
141;2002;Arrecifes;192
142;2002;Avellaneda;18
143;2002;Ayacucho;935
144;2002;Azul;888
145;2002;Bahía Blanca;266
146;2002;Balcarce;546
147;2002;Baradero;208
148;2002;Benito Juárez;514
149;2002;Berazategui;91
150;2002;Berisso;108
151;2002;Bolívar;1484
152;2002;Bragado;619
153;2002;Brandsen;316
154;2002;Campana;129
155;2002;Cañuelas;218
156;2002;Capitán Sarmiento;155
157;2002;Carlos Casares;669
158;2002;Carlos Tejedor;725
159;2002;Carmen de Areco;211
160;2002;Castelli;171
161;2002;Chacabuco;760
162;2002;Chascomús;734
163;2002;Chivilcoy;699
164;2002;Colón;404
165;2002;Coronel de Marina Leonardo Rosales;136
166;2002;Coronel Dorrego;547
167;2002;Coronel Pringles;622
168;2002;Coronel Suárez;986
169;2002;Daireaux;552
170;2002;Dolores;163
171;2002;Ensenada;5
172;2002;Escobar;152
173;2002;Esteban Echeverría;8
174;2002;Exaltación de la Cruz;233
175;2002;Ezeiza;22
176;2002;Florencio Varela;188
177;2002;Florentino Ameghino;182
178;2002;General Alvarado;209
179;2002;General Alvear;388
180;2002;General Arenales;630
181;2002;General Belgrano;294
182;2002;General Guido;298
183;2002;General Juan Madariaga;349
184;2002;General La Madrid;389
185;2002;General Las Heras;239
186;2002;General Lavalle;203
187;2002;General Paz;398
188;2002;General Pinto;362
189;2002;General Pueyrredón;456
190;2002;General Rodríguez;66
191;2002;General San Martín;6
192;2002;General Viamonte;460
193;2002;General Villegas;787
194;2002;Guaminí;604
195;2002;Hipólito Yrigoyen;340
196;2002;Hurlingham;0
197;2002;Ituzaingó;0
198;2002;José C, Paz;23
199;2002;Junín;580
200;2002;La Costa;21
201;2002;La Matanza;72
202;2002;Lanús;0
203;2002;La Plata;1183
204;2002;Laprida;380
205;2002;Las Flores;640
206;2002;Leandro N, Alem;315
207;2002;Lezama;0
208;2002;Lincoln;1217
209;2002;Lobería;544
210;2002;Lobos;605
211;2002;Lomas de Zamora;2
212;2002;Luján;90
213;2002;Magdalena;529
214;2002;Maipú;228
215;2002;Malvinas Argentinas;14
216;2002;Mar Chiquita;389
217;2002;Marcos Paz;284
218;2002;Mercedes;309
219;2002;Merlo;55
220;2002;Monte;290
221;2002;Monte Hermoso;4
222;2002;Moreno;105
223;2002;Morón;0
224;2002;Navarro;478
225;2002;Necochea;569
226;2002;9 de julio;1069
227;2002;Olavarría;959
228;2002;Patagones;952
229;2002;Pehuajó;1003
230;2002;Pellegrini;193
231;2002;Pergamino;1116
232;2002;Pila;274
233;2002;Pilar;101
234;2002;Pinamar;0
235;2002;Presidente Perón;31
236;2002;Puán;882
237;2002;Punta Indio;224
238;2002;Quilmes;6
239;2002;Ramallo;310
240;2002;Rauch;844
241;2002;Rivadavia;587
242;2002;Rojas;583
243;2002;Roque Pérez;455
244;2002;Saavedra;566
245;2002;Saladillo;1244
246;2002;Salliqueló;209
247;2002;Salto;516
248;2002;San Andrés de Giles;250
249;2002;San Antonio de Areco;161
250;2002;San Cayetano;360
251;2002;San Fernando;20
252;2002;San Isidro;9
253;2002;San Miguel;0
254;2002;San Nicolás;293
255;2002;San Pedro;632
256;2002;San Vicente;170
257;2002;Suipacha;254
258;2002;Tandil;659
259;2002;Tapalqué;371
260;2002;Tigre;35
261;2002;Tordillo;125
262;2002;Tornquist;492
263;2002;Trenque Lauquen;452
264;2002;Tres Arroyos;692
265;2002;Tres de Febrero;5
266;2002;Tres Lomas;285
267;2002;25 de mayo;868
268;2002;Vicente López;4
269;2002;Villa Gesell;3
270;2002;Villarino;938
271;2002;Zárate;167
272;1988;Provincia de Buenos Aires;75479
273;1988;Adolfo Alsina;1021
274;1988;Adolfo Gonzales Chaves;527
275;1988;Alberti;442
276;1988;Almirante Brown;84
277;1988;Arrecifes;0
278;1988;Avellaneda;57
279;1988;Ayacucho;1171
280;1988;Azul;1056
281;1988;Bahía Blanca;348
282;1988;Balcarce;1347
283;1988;Baradero;374
284;1988;Bartolomé Mitre;410
285;1988;Benito Juárez;752
286;1988;Berazategui;214
287;1988;Berisso;84
288;1988;Bolívar;1904
289;1988;Bragado;960
290;1988;Brandsen;400
291;1988;Campana;266
292;1988;Cañuelas;520
293;1988;Capitán Sarmiento;243
294;1988;Carlos Casares;1005
295;1988;Carlos Tejedor;842
296;1988;Carmen de Areco;241
297;1988;Castelli;369
298;1988;Chacabuco;1400
299;1988;Chascomús;1009
300;1988;Chivilcoy;1068
301;1988;Colón;537
302;1988;Coronel de Marina Leonardo Rosales;150
303;1988;Coronel Dorrego;807
304;1988;Coronel Pringles;806
305;1988;Coronel Suárez;1243
306;1988;Daireaux;757
307;1988;Dolores;395
308;1988;Ensenada;14
309;1988;Escobar;425
310;1988;Esteban Echeverría;149
311;1988;Exaltación de la Cruz;590
312;1988;Ezeiza;0
313;1988;Florencio Varela;588
314;1988;Florentino Ameghino;0
315;1988;General Alvarado;699
316;1988;General Alvear;450
317;1988;General Arenales;874
318;1988;General Belgrano;401
319;1988;General Guido;385
320;1988;General Juan Madariaga;500
321;1988;General La Madrid;624
322;1988;General Las Heras;376
323;1988;General Lavalle;212
324;1988;General Paz;524
325;1988;General Pinto;801
326;1988;General Pueyrredón;699
327;1988;General Rodríguez;213
328;1988;General San Martín;0
329;1988;General Sarmiento;173
330;1988;General Viamonte;948
331;1988;General Villegas;1206
332;1988;Guaminí;658
333;1988;Hipólito Yrigoyen;433
334;1988;Hurlingham;0
335;1988;Ituzaingó;0
336;1988;José C, Paz;0
337;1988;Junín;1089
338;1988;La Costa;9
339;1988;La Matanza;166
340;1988;Lanús;0
341;1988;La Plata;1203
342;1988;Laprida;425
343;1988;Las Flores;736
344;1988;Leandro N, Alem;480
345;1988;Lezama;0
346;1988;Lincoln;1545
347;1988;Lobería;987
348;1988;Lobos;971
349;1988;Lomas de Zamora;0
350;1988;Luján;431
351;1988;Magdalena;1034
352;1988;Maipú;316
353;1988;Malvinas Argentinas;0
354;1988;Mar Chiquita;503
355;1988;Marcos Paz;344
356;1988;Mercedes;671
357;1988;Merlo;157
358;1988;Monte;419
359;1988;Monte Hermoso;0
360;1988;Moreno;169
361;1988;Morón;0
362;1988;Navarro;619
363;1988;Necochea;701
364;1988;9 de julio;1435
365;1988;Olavarría;1149
366;1988;Patagones;1073
367;1988;Pehuajó;1272
368;1988;Pellegrini;274
369;1988;Pergamino;1600
370;1988;Pila;368
371;1988;Pilar;518
372;1988;Pinamar;0
373;1988;Presidente Perón;0
374;1988;Puán;1139
375;1988;Punta Indio;0
376;1988;Quilmes;0
377;1988;Ramallo;498
378;1988;Rauch;971
379;1988;Rivadavia;685
380;1988;Rojas;932
381;1988;Roque Pérez;653
382;1988;Saavedra;678
383;1988;Saladillo;1280
384;1988;Salliqueló;281
385;1988;Salto;739
386;1988;San Andrés de Giles;416
387;1988;San Antonio de Areco;288
388;1988;San Cayetano;561
389;1988;San Fernando;148
390;1988;San Isidro;7
391;1988;San Miguel;0
392;1988;San Nicolás;448
393;1988;San Pedro;1097
394;1988;San Vicente;276
395;1988;Suipacha;357
396;1988;Tandil;1095
397;1988;Tapalqué;575
398;1988;Tigre;135
399;1988;Tordillo;114
400;1988;Tornquist;623
401;1988;Trenque Lauquen;822
402;1988;Tres Arroyos;1042
403;1988;Tres de Febrero;5
404;1988;Tres Lomas;385
405;1988;25 de mayo;1145
406;1988;Vicente López;0
407;1988;Villa Gesell;0
408;1988;Villarino;1347
409;1988;Zárate;503
410;1988;Indeterminado;6
