Municipios;Ordenanza;Fecha;Link - Repositorio;Cursos de agua - Exclusion;Cursos de agua - Amortiguamiento;Cursos de agua - Exclusion Aerea;Superficies de agua - Exclusion;Superficies de agua - Amortiguamiento;Superficie de agua - Exclusion Aerea;Campo de bombeo - Exclusion;Campo de bombeo - Amortiguamiento;Campo de bombeo - Exclusión Aerea;Puntaje
Adolfo Alsina;N°3840/14;30/4/2014;https://drive.google.com/file/d/1QuSp121upZrg2pBEMH5vzQDNmY4nCfw6/view?usp=share_link;25;50;0;100;200;0;100;200;0;0.046
Adolfo Gonzáles Chaves;N°1156/86;;https://drive.google.com/file/d/1H4AVG1e5hcGtgUVgwSG7vYc2N0ggA8Td/view?usp=share_link;0;0;0;0;0;0;0;0;0;0.001
Alberti;N°1690/08;26/5/2008;https://drive.google.com/file/d/1ouZLi8LIMKvUVvLbKbc7sgAaegKve24P/view?usp=share_link;0;0;0;0;0;0;0;0;0;0.001
Almirante Brown;N°9140;;https://drive.google.com/file/d/1v7EaIErw3XOXmEmD6SzF3ogyP90bMNRq/view?usp=share_link;0;0;0;0;0;0;0;0;0;0.001
Arrecifes;N°2786;;https://drive.google.com/file/d/1CKJ63qOImswZOrUqOY0H0VChWgGYU9It/view?usp=share_link;30;0;0;30;0;0;15;0;0;0.009
Avellaneda;;;;;;;;;;;;;
Ayacucho;N°5528/20;28/12/2020;https://drive.google.com/file/d/1ThVJiyasHCSLVADL-yThH16A5b82WOBD/view?usp=share_link;25;400;25;0;0;0;0;0;0;0.026
Azul;N°4564/21;2021;https://drive.google.com/file/d/1jKlFG_F9y4GTSzYp8dlz0KUKBZcUewxP/view;20;200;0;20;200;0;20;200;0;0.037
Bahía Blanca;N°5441/89;29/6/1989;https://drive.google.com/file/d/1nJACsUzI4BmEuLcxkkpnITSUamS5nnN9/view?usp=share_link;0;0;;0;0;0;0;0;0;0.001
Balcarce;N°158/18;22/11/2018;https://drive.google.com/file/d/15UdXYTYmbQR6DfccsJ3yE3HL9HdlSmRL/view?usp=share_link;0;0;;0;0;0;0;0;0;0.001
Baradero;;;;;;;;;;;;;
Benito Juárez;N°5542/20;25/6/2020;https://drive.google.com/file/d/1szUQMt2EW7e8FaLoG7yspjcxnVmpiWNk/view?usp=share_link;50;0;0;50;0;0;0;0;0;0.011
Berazategui;;;;;;;;;;;;;
Berisso;;;;;;;;;;;;;
Bolívar;N°2459/2017;5/12/2017;https://drive.google.com/file/d/1MOR6mlbttxXkDOeWlFYOnizKzX8M2fEf/view?usp=share_link;1000;2000;2000;2000;4000;0;1000;2000;0;1.000
Bragado;N°3706;7/5/2009;https://drive.google.com/file/d/1MsWaxB3oieSAwJs9oKGkpQ4qNfdOLcw7/view?usp=share_link;0;0;0;0;0;0;0;0;0;0.001
Brandsen;;;;;;;;;;;;;
Campana;N°5792/11;8/9/2011;https://drive.google.com/file/d/1e6DHMOXh5nbZEVY1mrq5GqNqBbTLRqaS/view?usp=share_link;50;0;50;0;0;0;0;0;0;0.011
Cañuelas;N°2671/10;9/6/2010;https://drive.google.com/file/d/1bG3pTPpAaI-Pm1hS4FADK7qC1TvSDq6p/view?usp=share_link;35;0;0;0;0;0;0;0;0;0.005
Capitán Sarmiento;N°1672/09;29/10/2009;https://drive.google.com/file/d/1OODwBr8fT7q4uKY9z-N0PWJoRFPQNVbN/view?usp=share_link;0;0;0;0;0;0;0;0;0;0.001
Carlos Casares;;;;;;;;;;;;;
Carlos Tejedor;N°2350/14;28/10/2014;https://drive.google.com/file/d/1pLWRx0k7zIbs9UP8JIiDRAQufsQKDxC3/view?usp=share_link;30;0;0;30;0;0;30;0;0;0.010
Carmen de Areco;N°2960;2018;https://drive.google.com/file/d/1tXc0XCHhcSWReURxRyfxGilkNpZgR1KD/view?usp=share_link;30;100;0;30;100;0;30;100;0;0.025
Castelli;N°41/20;9/9/2020;https://drive.google.com/file/d/14LxBf8mDwfonSBNPPNfnAK92JyS1GLBN/view;0;0;0;0;0;0;0;0;0;0.001
Chacabuco;N°7077/17;25/8/2017;https://drive.google.com/file/d/17PON1a8YaZyTZsn1W2jS_H6NBPhkmzgd/view;10;0;0;10;0;0;20;0;0;0.005
Chascomús;N°5329/18;27/12/2018;https://drive.google.com/file/d/1SYzMhUHmQQIoIpyuTWHTSIbIZ8IkJ4rI/view;50;1000;0;50;1000;0;0;0;0;0.111
Chivilcoy;;;;;;;;;;;;;
Colón;N°1713/96;13/9/1996;https://drive.google.com/file/d/1OuFHovH96A8_nvWR_DkkHu1PHr5_IC6m/view;0;0;0;0;0;0;0;0;0;0.001
Coronel Dorrego;N°3147/11;10/11/2011;https://drive.google.com/file/d/11MkZOdHE2qsGUGb7uDK4QC3lg731uhsS/view;0;0;0;0;0;0;0;0;0;0.001
Coronel Pringles;N°4081 y N°4240;"21/11/2013
18/02/2016";https://drive.google.com/file/d/13ywZytgxpclgnPwKvVbEcd0otniKuqNC/view --y-- https://drive.google.com/file/d/1l3jYUBWtyhgN8rCYfsvH0MRqpY6ahhZQ/view;50;0;0;50;0;0;0;0;0;0.011
Coronel Rosales;;;;;;;;;;;;;
Coronel Suárez;N°7404/20;3/11/2020;https://drive.google.com/file/d/13s_4BtIqYVp3xT5FiV2PWCDR_aYpKFxo/view;25;0;200;25;0;200;25;0;200;0.069
Daireaux;N°2383/20;30/11/2020;https://drive.google.com/file/d/1tJeh0EBQbi7Tam5SNfkQyDpp6g68kTBg/view;0;0;0;0;0;0;0;0;0;0.001
Dolores;;;;;;;;;;;;;
Ensenada;;;;;;;;;;;;;
Escobar;;;;;;;;;;;;;
Esteban Echeverría;;;;;;;;;;;;;
Exaltación de la Cruz;N°2557/19;26/3/2019;https://drive.google.com/file/d/1AW4DeuFK74kXUfswNZcDdZ4RFqKRyqCV/view;0;0;0;0;0;0;0;0;0;0.001
Ezeiza;;;;;;;;;;;;;0.001
Florencio Varela;;;;;;;;;;;;;
Florentino Ameghino;N°736;;https://drive.google.com/file/d/1qsh8jSLDiDJ3ZNThZbMMH2edQcSH7jjY/view;0;0;0;0;0;0;0;0;0;0.001
General Alvarado;N°217/09;4/11/2009;https://drive.google.com/file/d/14qUgyRVPtmtKG8sRou5G8XQPBbgbBeI4/view;0;0;0;0;0;0;0;0;0;0.001
General Alvear;N°1669/11;5/12/2011;https://drive.google.com/file/d/1beH_9iDpwMFxkZBtsGVRvyM45PsBbe04/view;20;0;0;0;0;0;0;0;0;0.003
General Arenales;;;;;;;;;;;;;
General Belgrano;;;;;;;;;;;;;0.001
General Guido;;;;;;;;;;;;;
General La Madrid;;;;;;;;;;;;;
General Las Heras;N°69/10;6/10/2010;https://drive.google.com/file/d/1D0VJXPCNYY0kLalISYOPRTBO2qTmLHPi/view;35;0;0;0;0;0;0;0;0;0.005
General Lavalle;;;;;;;;;;;;;
General Madariaga;N°1732/07;13/9/2007;https://drive.google.com/file/d/19HTLfPZqHZIKvlOG1zKwfAFMtY-7xGMp/view;2000;0;0;2000;0;0;0;0;0;0.401
General Paz;;;;;;;;;;;;;
General Pinto;N°4115/14;27/5/2014;https://drive.google.com/file/d/1P2V2GV8GGhv65zJiK5oUPRplhej65Axt/view;100;0;0;100;0;0;100;0;0;0.031
General Pueyrredón;N°21296/13;23/5/2013;https://drive.google.com/file/d/1e9SyVgjmTLKnuf-DjxXBFn3xsRp23PNj/view;25;0;0;25;0;0;0;0;0;0.006
General Rodríguez;;;;;;;;;;;;;
General San Martín;;;;;;;;;;;;;
General Viamonte;N°3150/15;12/11/2015;https://drive.google.com/file/d/1d8Os0_U4O9Dr4Uf82GGwv-VQ6CyOTqcw/view;300;0;200;20;0;0;0;0;0;0.053
General Villegas;N°6124/20;16/7/2020;https://drive.google.com/file/d/1Uam06tg77yMTlR6FiadjglRLcJOlE-V3/view;40;0;;40;0;;0;0;;0.009
Guaminí;N°13/16;13/6/2016;https://drive.google.com/file/d/1nnnP_yzqfSVhcSLL7TIdh5icY1Vbh8U9/view;25;50;50;100;200;300;100;200;300;0.111
Hipólito Yrigoyen;N°96/13;2013;https://www.crea.org.ar/mapalegal/aplicaciones/buenos-aires#contenedorMapa;0;0;0;0;0;0;0;0;0;0.001
Hurlingham;;;;;;;;;;;;;
Ituzaingó;;;;0;0;0;0;0;0;0;0;0;0.001
José C. Paz;;;;;;;;;;;;;
Junín;N°6425/13;5/11/2013;https://drive.google.com/file/d/12wdG2HYReGferKTNAVpWp9mkUazQci2A/view;25;500;525;25;500;525;0;0;0;0.161
La Costa;;;;;;;;;;;;;
La Matanza;S/N;28/12/2022;https://drive.google.com/file/d/11ZXfYgjeiPoA9ShRbTbYgok3_TPPKShu/view;1100;0;0;1100;0;0;0;0;0;0.221
La Plata;N°7541/90;13/8/1990;https://drive.google.com/file/d/1GbD4CT76AifEIGKkQaL1ytuj62Z6vvT5/view;0;0;0;0;0;0;0;0;0;0.001
Lanús;;;;;;;;;;;;;
Laprida;N°1824/12;12/12/2012;https://drive.google.com/file/d/1oEJlXe8ZT27kWK07vl-Pa_jAjroAIE-H/view;0;0;0;0;0;0;0;0;0;0.001
Las Flores;N°2402/10;21/9/2010;https://drive.google.com/file/d/1aQZMmdk4neFSGiaUagga5i8ZW8i6ow6l/view;20;0;0;0;0;0;0;0;0;0.003
Leandro N. Alem;N°1166/06;29/11/2006;https://drive.google.com/file/d/1lTleYxWhgnTyYf7v4b6vMkLSnN9gpMh1/view;0;0;0;0;0;0;0;0;0;0.001
Lezama;;;;;;;;;;;;;
Lincoln;N°2535/19;6/12/2019;https://drive.google.com/file/d/1u0oTDbY8JfWNYP_A9Xsh69t_GxA-4Vqr/view;50;100;100;100;200;200;300;600;500;0.171
Lobería;;;;;;;;;;;;;
Lobos;;;;;;;;;;;;;
Lomas de Zamora;N°12923/10;12/5/2010;https://drive.google.com/file/d/1EoWZdsAAssix_pP5RJCVci44oyN8OYu2/view;0;0;0;0;0;0;0;0;0;0.001
Luján;N°5953/11;14/7/2011;https://drive.google.com/file/d/1-GJTiepjXQFrwAcDOlaUlXw3ruPg6ZFi/view;100;0;0;100;0;0;0;0;0;0.021
Magdalena;;;;;;;;;;;;;
Maipú;;;;;;;;;;;;;
Malvinas Argentinas;;;;;;;;;;;;;
Mar Chiquita;19/20;;https://drive.google.com/file/d/1SVmW-3-_LIpqGGVsO2Ud4o3vmxoja5mo/view;25;0;0;25;0;0;50;0;0;0.011
Marcos Paz;N°25/19;22/8/2019;https://drive.google.com/file/d/1PEj_uEQhvdP58QNH4YNankS4clMnU9y-/view;0;0;0;0;0;0;0;0;0;0.001
Mercedes;N°6998/11;12/9/2011;https://drive.google.com/file/d/1lLph9LdRx2bmzd-nailXut27soCboXoN/view;100;0;0;100;0;0;0;0;0;0.021
Merlo;;;;;;;;;;;;;
Monte;N°4250/19;28/11/2019;https://drive.google.com/file/d/1LTtPQjlYB790_lwU7NzFBU-NkK1eVUEq/view;50;0;0;0;0;0;0;0;0;0.006
Monte Hermoso;;;;;;;;;;;;;
Moreno;N°5241/12;28/11/2012;https://drive.google.com/file/d/1FRud-Erb444S_ov8eBwdTjr8yyYkxoHe/view;100;0;0;100;0;0;0;0;0;0.021
Morón;11990/09;2009;https://drive.google.com/file/d/16Ufq-FJXgJkxOGX53GXSOoSoJRZglYFf/view;0;0;0;0;0;0;0;0;0;0.001
Navarro;N°1281/11;27/12/2011;https://drive.google.com/file/d/1jnvOVpq4rscioDEcbXjAXXO3asy9HAZQ/view;50;0;0;0;0;0;0;0;0;0.006
Necochea;N°7069/10;28/12/2010;https://drive.google.com/file/d/1Ni7YKi56J5SkkVPH_H-fSBpHol-gZH4y/view;0;0;0;0;0;0;0;0;0;0.001
Nueve de Julio;N°4821/09;4/11/2009;https://drive.google.com/file/d/1lJ7om0OXeziFcMHgEmeCD-UkUvtwFjuy/view y https://drive.google.com/file/d/1BS3XjGmw4P9xt8riXKT9TC0Hi3MgbUC2/view;0;0;0;0;0;0;0;0;0;0.001
Olavarría;N°3651/14;15/5/2014;https://drive.google.com/file/d/1-wb4l4SPcHqV0HCzzKklQFxm0XC5jeCH/view;25;0;0;25;0;0;50;0;0;0.011
Patagones;;;;;;;;;;;;;
Pehuajó;82;;https://drive.google.com/file/d/1URG7nngz1LyV8nmsgO-biA5D2qff2dqk/view;0;0;0;0;0;0;0;0;0;0.001
Pellegrini;Nº 1185/2013;2013;;0;0;0;0;0;0;0;0;0;0.001
Pergamino;N°8126/14;10/12/2014;https://drive.google.com/file/d/1RdyKAlqzt6n6E5zB98gXbUhYoW9WtLLj/view;0;500;0;0;500;0;0;0;0;0.051
Pila;;;;;;;;;;;;;0.001
Pilar;;;;;;;;;;;;;
Pinamar;;;;;;;;;;;;;
Presidente Perón;N°708/10;26/10/2010;https://drive.google.com/file/d/116iXokAynUH32mPk8puICokxygJmxvIj/view;20;0;0;0;0;0;0;0;0;0.003
Puán;N°4439/08;28/5/2008;https://drive.google.com/file/d/10_CuaTtFScVepxkIttdzzgsnChiMiRYE/view;0;0;0;0;0;0;0;0;0;0.001
Punta Indio;;;;;;;;;;;;;
Quilmes;;;;;;;;;;;;;
Ramallo;N°5133/15;31/3/2015;https://drive.google.com/file/d/1ZPHlvF8poTrgTACTeYNIohQcfHlyYXTE/view;100;0;0;0;0;0;0;0;0;0.011
Rauch;N°850/12;;;50;0;50;100;0;100;0;0;0;0.031
Rivadavia;N°3371/11;3/11/2011;https://drive.google.com/file/d/1u1XlDlYxTSQexRwvDpe7NnrIC6x6fmbO/view;0;0;0;0;0;0;0;0;0;0.001
Rojas;;;;;;;;;;;;;
Roque Pérez;N°2192/18;17/8/2018;https://drive.google.com/file/d/1DqGzOrDfW3M4lTNY7T-gzdiGw3zy7f4z/view;50;0;100;50;0;100;50;0;0;0.036
Saavedra - Pigüé;N°6092/12;31/10/2012;https://drive.google.com/file/d/1tp68pz9sbU0wHBti0VBP4BCGDdWsd7md/view;0;0;0;0;0;0;0;0;0;0.001
Saladillo;N°77/08;2/12/2008;https://drive.google.com/file/d/1VtMszOmrbH_XGnpTukInvzJ5kh6paK-B/view;20;0;0;0;0;0;0;0;0;0.003
Salliqueló;N°1584/14;27/11/2014;https://drive.google.com/file/d/1W5W5GpE1obVc1zD40EgR3e8JocndLY6X/view;0;0;0;0;0;0;0;0;0;0.001
Salto;N°86/14;2014;https://drive.google.com/file/d/1aqnY9b-ynt16HZHQbk3Z6HtO4YndbIG0/view;35;0;35;0;0;0;0;0;0;0.008
San Andrés de Giles;N°2047/17;8/11/2017;https://drive.google.com/file/d/12p5MjYWsqwIyTGmFtivnEraxCXX6w02D/view;50;0;0;0;0;0;0;0;0;0.006
San Antonio de Areco;N°3919/14;15/9/2014;https://drive.google.com/file/d/1PwlwzTOo_iNFGC3xZbo0lH1SPUKDFHCn/view;0;0;0;0;0;0;0;0;0;0.001
San Cayetano;N°992/00;1/11/2000;https://drive.google.com/file/d/1P3WcEU_UJYmHC1YkAi79m2bHEvAc3JoG/view;0;0;0;0;0;0;0;0;0;0.001
San Fernando;;;;;;;;;;;;;
San Isidro;;;;;;;;;;;;;
San Miguel;;;;;;;;;;;;;
San Nicolás;N°7044/07;2007;https://drive.google.com/file/d/1oD5aH5-VD_5_uIjHd-7g0dgrsEvaIzyN/view;0;0;0;0;0;0;0;0;0;0.001
San Pedro;N°5579/06;28/7/2006;https://drive.google.com/file/d/1QsYmi06UR98oB9hwSX182ciDgW59lz5e/view;0;0;0;0;0;0;0;0;0;0.001
San Vicente;;;;;;;;;;;;;
Suipacha;;;;;;;;;;;;;0.001
Tandil;N°17404/21;6/12/2021;https://drive.google.com/file/d/1X2AcXSB-JRMSbttPxtpworMLNtpyjWDf/view;50;0;0;50;0;0;50;0;0;0.016
Tapalqué;;;;;;;;;;;;;
Tigre;;;;;;;;;;;;;
Tordillo;;;;;;;;;;;;;
Tornquist;N°2725/15;8/1/2015;https://drive.google.com/file/d/15-k7suW5BCJC5a8wXNbqjMmh2UPE0kgh/view?usp=drive_open;25;0;50;25;0;50;50;0;100;0.031
Trenque Lauquen;N°3965/13;13/10/2013;https://drive.google.com/file/d/16ioI6lX6hOxuqTS0jps5zH2n_VHzwIHw/view;30;0;0;30;0;0;30;0;0;0.010
Tres Arroyos;N°7084/17;30/11/2017;https://drive.google.com/file/d/1Jxb1fLN-t_uuPCD9x4-Yo-oTsMr2_1ZT/view;0;0;0;0;0;0;0;0;0;0.001
Tres de Febrero;;;;;;;;;;;;;
Tres Lomas;N°1246/18;29/11/2018;https://drive.google.com/file/d/1ckxQfkVTbwLNSR7pszRdnKWhPhDOR-Qk/view;0;0;0;0;0;0;0;0;0;0.001
Veinticinco de Mayo;N°3380/18;12/11/2018;https://drive.google.com/file/d/1fkicKDzXFmvPQvvZUw9PoOORIhCwSfl2/view;0;0;0;0;0;0;0;0;0;0.001
Vicente López;;;;0;0;0;0;0;0;0;0;0;0.001
Villa Gesell;;;;;;;;;;;;;
Villarino;;;;;;;;;;;;;
Zárate;;;;;;;;;;;;;
